THÁNG,NỘI DUNG CHI,PHÂN LOẠI,SỐ TIỀN,DÒNG TIỀN,TÀI CHÍNH
2023.12,cọc 1 th thuê bằng bs,Mua sắm tài sản,18.000.000,Chi phí khác,Chi phí khác
2023.12,Lab,Tiền Lab,349.400.000,Biến phí,Chi phí giá vốn
2023.12,Quỹ thưởng cuối năm,Quỹ thưởng tổng cuối năm,90.000.000,Định phí,Chi phí khác
2024.01,Hành Chính,Mua đồ hành chính,0,Biến phí,Chi phí hành chính
2024.01,Hành Chính,Mua đồ hành chính,227.228.343,Biến phí,Chi phí hành chính
2024.01,MKT,Marketing chạy Quảng cáo,734.000.000,Biến phí,Chi phí bán hàng
2024.01,thuê vp,Chi phí Mặt bằng,8.097.333,Định phí,Chi phí QLDN
2024.01,bãi xe+rửa xe cty,Tiền thuê xe,2.250.000,Định phí,Chi phí hành chính
2024.01,Số 5 kỳ Đồng,Chi phí Mặt bằng,91.575.000,Định phí,Chi phí QLDN
2024.01,tiền xe nv t1,Tiền thuê xe,2.333.333,Định phí,Chi phí hành chính
2024.01,2 xe cty,Tiền thuê xe,20.500.000,Định phí,Chi phí hành chính
2024.01,wf,Mua đồ hành chính,816.667,Biến phí,Chi phí hành chính
2024.01,Điện kỳ đồng,Điện + Nước,14.611.667,Định phí,Chi phí hành chính
2024.01,Thưởng nhân viên cuối năm,Quỹ thưởng tổng cuối năm,48.847.101,Định phí,Chi phí khác
2024.01,BH NV,Bảo hiểm,33.638.400,Định phí,Chi phí QLDN
2024.01,tt 3th tiền bằng bs (T1/24),Thuê bằng,18.000.000,Định phí,Chi phí QLDN
2024.01,lương bs,Lương,60.078.671,Định phí,Chi phí QLDN
2024.01,%bs,KPI,410.640.791,Biến phí,Chi phí bán hàng
2024.01,lương nv,Lương,245.325.438,Định phí,Chi phí QLDN
2024.01,% nv,KPI,115.335.447,Biến phí,Chi phí bán hàng
2024.01,8c cvr,Tiền vật liệu,10.477.000,Biến phí,Chi phí giá vốn
2024.01,kin,Tiền vật liệu,4.595.000,Biến phí,Chi phí giá vốn
2024.01,Vật liệu Thanh Ngọc T12/23,Tiền vật liệu,72.153.000,Biến phí,Chi phí giá vốn
2024.01,vật liệu,Tiền vật liệu,4.010.000,Biến phí,Chi phí giá vốn
2024.01,"tiền chênh lệch trụ strauman t5,6,7",Tiền vật liệu,11.985.000,Biến phí,Chi phí giá vốn
2024.01,Máy xq,Mua sắm tài sản,34.015.000,Chi phí khác,Chi phí khác
2024.01,bàn lv cho bs San,Mua sắm tài sản,750.000,Chi phí khác,Chi phí khác
2024.01,Labo,Tiền Lab,699.850.000,Biến phí,Chi phí giá vốn
2024.01,Thưởng gián tiếp,Quỹ thưởng gián tiếp,14.725.000,Biến phí,Chi phí bán hàng
2024.02,hành chính chung,Mua đồ hành chính,0,Biến phí,Chi phí hành chính
2024.02,hành chính chung,Mua đồ hành chính,65.520.835,Biến phí,Chi phí hành chính
2024.02,lương bs,Lương,50.367.788,Định phí,Chi phí QLDN
2024.02,%bs,KPI,126.563.650,Biến phí,Chi phí bán hàng
2024.02,lương nv,Lương,225.212.803,Định phí,Chi phí QLDN
2024.02,% nv,KPI,39.306.757,Biến phí,Chi phí bán hàng
2024.02,hh khách,Hành chính MKT,500.000,Biến phí,Chi phí bán hàng
2024.02,57.327 đ,Hành chính MKT,900.000,Biến phí,Chi phí bán hàng
2024.02,Hạt điều tặng khách+tiền nem+tiền ship quà+thịt rừng tặng sếp,Hành chính MKT,6.686.666,Biến phí,Chi phí bán hàng
2024.02,BCĐ,Hành chính MKT,6.500.000,Biến phí,Chi phí bán hàng
2024.02,57.427 đ,Hành chính MKT,3.873.000,Biến phí,Chi phí bán hàng
2024.02,khách xem phong thuỷ,Hành chính MKT,5.416.667,Biến phí,Chi phí bán hàng
2024.02,phí cà thẻ T2,Phí cà thẻ,1.829.600,Biến phí,Chi phí bán hàng
2024.02,nạp qc,Marketing chạy Quảng cáo,376.000.000,Biến phí,Chi phí bán hàng
2024.02,tiktok,Marketing chạy Quảng cáo,53.000.000,Biến phí,Chi phí bán hàng
2024.02,thuê vp,Chi phí Mặt bằng,7.867.333,Định phí,Chi phí QLDN
2024.02,Số 5 kỳ Đồng,Chi phí Mặt bằng,92.100.000,Định phí,Chi phí QLDN
2024.02,wf,Điện + Nước,715.000,Định phí,Chi phí hành chính
2024.02,Điện kỳ đồng,Điện + Nước,17.658.693,Định phí,Chi phí hành chính
