THÁNG,NGÀY,TIỀN MẶT,CÀ THẺ,THỰC NHẬN CÀ THẺ,CHUYỂN KHOẢN,TRẢ CỌC,TỔNG,TỔNG TRỪ PHÍ CÀ THẺ
2023.04,15/04/2023,6.700.000,26.745.000,26.349.780,11.800.000,0,45.245.000,44.849.780
2023.04,16/04/2023,9.510.000,2.350.000,2.335.900,66.020.000,0,77.880.000,77.865.900
2023.04,17/04/2023,6.225.000,17.310.000,17.192.640,35.340.000,0,58.875.000,58.757.640
2023.04,18/04/2023,4.200.000,3.320.000,3.266.880,12.450.000,0,19.970.000,19.916.880
2023.04,19/04/2023,3.030.000,4.795.000,4.717.810,30.665.000,0,38.490.000,38.412.810
2023.04,20/04/2023,4.915.000,4.645.000,4.570.680,3.960.000,0,13.520.000,13.445.680
2023.04,21/04/2023,18.060.000,11.050.000,10.873.200,27.700.000,0,56.810.000,56.633.200
2023.04,22/04/2023,20.945.000,9.130.000,8.983.200,7.340.000,0,37.415.000,37.268.200
2023.04,23/04/2023,6.045.000,3.800.000,3.744.500,7.995.000,0,17.840.000,17.784.500
2023.04,24/04/2023,9.735.000,3.950.000,3.898.800,8.305.000,0,21.990.000,21.938.800
2023.04,25/04/2023,10.500.000,3.750.000,3.727.500,37.350.000,0,51.600.000,51.577.500
2023.04,26/04/2023,17.565.000,6.700.000,6.597.000,50.970.000,0,75.235.000,75.132.000
2023.04,27/04/2023,5.050.000,12.600.000,12.403.400,8.050.000,0,25.700.000,25.503.400
2023.04,28/04/2023,7.610.000,4.995.000,4.925.080,28.400.000,150.000,40.855.000,40.785.080
2023.05,02/05/2023,17.645.000,4.700.000,4.649.300,4.950.000,0,27.295.000,27.244.300
2023.05,03/05/2023,8.700.000,14.225.000,14.021.900,12.450.000,0,35.375.000,35.171.900
2023.05,04/05/2023,13.900.000,6.265.000,6.163.510,16.500.000,0,36.665.000,36.563.510
2023.05,05/05/2023,11.500.000,7.845.000,7.758.430,51.083.000,0,70.428.000,70.341.430
2023.05,06/05/2023,23.220.000,11.950.000,11.728.800,23.550.000,0,58.720.000,58.498.800
2023.05,07/05/2023,6.500.000,7.570.000,7.448.880,21.250.000,0,35.320.000,35.198.880
2023.05,08/05/2023,8.500.000,1.595.000,1.569.480,20.150.000,0,30.245.000,30.219.480
2023.05,09/05/2023,8.310.000,8.165.000,8.070.010,13.870.000,0,30.345.000,30.250.010
2023.05,10/05/2023,15.910.000,17.020.000,16.773.180,44.970.000,1.000.000,76.900.000,76.653.180
2023.05,11/05/2023,6.820.000,5.000.000,4.933.000,20.296.666,0,32.116.666,32.049.666
2023.05,12/05/2023,10.725.000,6.345.000,6.294.430,18.275.000,0,35.345.000,35.294.430
2023.05,13/05/2023,10.800.000,11.450.000,11.293.800,34.190.000,0,56.440.000,56.283.800
2023.05,14/05/2023,19.895.000,2.600.000,2.558.400,16.460.000,0,38.955.000,38.913.400
2023.05,15/05/2023,10.250.000,4.200.000,4.193.280,11.765.000,0,26.215.000,26.208.280
2023.05,16/05/2023,13.955.000,12.515.000,12.339.910,7.270.000,0,33.740.000,33.564.910
2023.05,17/05/2023,7.160.000,25.200.000,24.864.800,15.855.000,0,48.215.000,47.879.800
2023.05,18/05/2023,4.350.000,5.820.000,5.738.880,15.995.000,0,26.165.000,26.083.880
2023.05,19/05/2023,13.410.000,17.595.000,17.349.480,22.400.000,0,53.405.000,53.159.480
2023.05,20/05/2023,2.050.000,18.060.000,17.736.480,21.350.000,0,41.460.000,41.136.480
2023.05,21/05/2023,9.145.000,4.350.000,4.292.900,13.045.000,0,26.540.000,26.482.900
2023.05,22/05/2023,5.245.000,4.550.000,4.292.900,6.555.000,0,16.350.000,16.092.900
2023.05,23/05/2023,0,8.550.000,8.476.600,11.600.000,0,20.150.000,20.076.600
2023.05,24/05/2023,11.320.000,20.100.000,1.958.400,24.515.000,0,55.935.000,37.793.400
2023.05,25/05/2023,3.700.000,6.000.000,5.921.800,12.370.000,0,22.070.000,21.991.800
